date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:17	286/286	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Feb%202022%2021:24:16%20GMT	https://boreddoge.mintings.art/robots.txt		(from )
23:24:17	15403/15403	---MCZ	200	added ('OK')	text/html	etag:W/%223c2b-5d815bd86dace%22	https://boreddoge.mintings.art/	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/index.html	(from )
23:24:17	373876/373876	---M--	200	added ('OK')	image/png	etag:%2248b54fae3371ea8a091425c4eaf6341f%22	https://assets-global.website-files.com/61f2b782fb00b31c4710e962/61fed28acbaf17ca3faeb0bd_home-hero-head-e-mob.png	C:/WebDev/https___boreddoge.mintings.art_/assets-global.website-files.com/61f2b782fb00b31c4710e962/61fed28acbaf17ca3faeb0bd_home-hero-head-e-mob.png	(from https://boreddoge.mintings.art/)
23:24:17	15409/15409	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22620b81d8-3c31%22	https://boreddoge.mintings.art/images/logo/logo.svg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/logo/logo.svg	(from https://boreddoge.mintings.art/)
23:24:18	57/57	---MCZ	302	error ('Found')	text/plain	date:Wed,%2016%20Feb%202022%2021:24:18%20GMT	https://unpkg.com/swiper/swiper-bundle.min.css	C:/WebDev/https___boreddoge.mintings.art_/unpkg.com/swiper/swiper-bundle.min.2.delayed	(from https://boreddoge.mintings.art/)
23:24:18	15821/15821	---MCZ	200	added ('OK')	text/css	etag:%223dcd-3m9E2WSIAJKp22MliU54VZ2tVDk%22	https://unpkg.com/swiper@8.0.6/swiper-bundle.min.css	C:/WebDev/https___boreddoge.mintings.art_/unpkg.com/swiper@8.0.6/swiper-bundle.min.css	(from https://boreddoge.mintings.art/)
23:24:18	56/56	---MCZ	302	error ('Found')	text/plain	date:Wed,%2016%20Feb%202022%2021:24:18%20GMT	https://unpkg.com/swiper/swiper-bundle.min.js	C:/WebDev/https___boreddoge.mintings.art_/unpkg.com/swiper/swiper-bundle.min.4.delayed	(from https://boreddoge.mintings.art/)
23:24:18	139098/139098	---MCZ	200	added ('OK')	application/javascript	etag:%2221f5a-8s2kJOZevi0MQflOc1Iffkp5/nA%22	https://unpkg.com/swiper@8.0.6/swiper-bundle.min.js	C:/WebDev/https___boreddoge.mintings.art_/unpkg.com/swiper@8.0.6/swiper-bundle.min.js	(from https://boreddoge.mintings.art/)
23:24:19	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/WebDev/https___boreddoge.mintings.art_/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://boreddoge.mintings.art/)
23:24:19	300/300	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Feb%202022%2021:24:19%20GMT	https://boreddoge.mintings.art/scripts/particles.min.js	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/scripts/particles.min.js	(from https://boreddoge.mintings.art/)
23:24:19	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/WebDev/https___boreddoge.mintings.art_/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://boreddoge.mintings.art/)
23:24:20	15212/15212	---MCZ	200	added ('OK')	text/css	etag:W/%22620b8148-3b6c%22	https://boreddoge.mintings.art/style.css?ver=0.0.5	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/stylef8ab.css	(from https://boreddoge.mintings.art/)
23:24:20	4301/4301	---MCZ	200	added ('OK')	text/css	etag:W/%22620b68b8-10cd%22	https://boreddoge.mintings.art/range.css	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/range.css	(from https://boreddoge.mintings.art/)
23:24:20	187/187	---M--	200	added ('OK')	text/css	etag:%22620b7bbe-bb%22	https://boreddoge.mintings.art/form.css	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/form.css	(from https://boreddoge.mintings.art/)
23:24:21	1630/1630	---MCZ	200	added ('OK')	text/css	etag:W/%22620b85aa-65e%22	https://boreddoge.mintings.art/style2.css	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/style2.css	(from https://boreddoge.mintings.art/)
23:24:21	1410842/1410842	---M-Z	200	added ('OK')	application/javascript	etag:W/%2215871a-8Ul/o/NNCwyOsapwQkoGbUYQmgA%22	https://cdn.jsdelivr.net/npm/web3@latest/dist/web3.min.js	C:/WebDev/https___boreddoge.mintings.art_/cdn.jsdelivr.net/npm/web3@latest/dist/web3.min.js	(from https://boreddoge.mintings.art/)
23:24:21	50825/50825	---M--	200	added ('OK')	image/jpeg	etag:%22620b82de-c689%22	https://boreddoge.mintings.art/images/cards/1.jpeg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/cards/1.jpg	(from https://boreddoge.mintings.art/)
23:24:21	58718/58718	---M--	200	added ('OK')	image/jpeg	etag:%22620b82ee-e55e%22	https://boreddoge.mintings.art/images/cards/2.jpeg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/cards/2.jpg	(from https://boreddoge.mintings.art/)
23:24:22	41240/41240	---M--	200	added ('OK')	image/jpeg	etag:%22620b82f0-a118%22	https://boreddoge.mintings.art/images/cards/3.jpeg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/cards/3.jpg	(from https://boreddoge.mintings.art/)
23:24:22	84019/84019	---M--	200	added ('OK')	image/jpeg	etag:%22620b82f4-14833%22	https://boreddoge.mintings.art/images/cards/4.jpeg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/cards/4.jpg	(from https://boreddoge.mintings.art/)
23:24:22	69628/69628	---M--	200	added ('OK')	image/jpeg	etag:%22620b8312-10ffc%22	https://boreddoge.mintings.art/images/cards/5.jpeg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/cards/5.jpg	(from https://boreddoge.mintings.art/)
23:24:22	89959/89959	---M--	200	added ('OK')	image/jpeg	etag:%22620b831e-15f67%22	https://boreddoge.mintings.art/images/cards/6.jpeg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/cards/6.jpg	(from https://boreddoge.mintings.art/)
